poradi,jmeno,body,celkem,vitezstvi,uspesnost
1.,H34D,55,504,366,73%
2.,Scooby,10,345,235,68%
3.,Lord.Alex,10,3233,1461,45%
4.,Lord Slayer,5,402,137,34%
5.,maGe,0,309,189,61%
6.,karcma,1,406,234,58%
7.,naoblaku,1,240,107,45%
8.,siska96,0,127,74,58%
9.,DT.Azgard,0,230,144,63%
10.,Pepix,0,189,110,58%
11.,SD,0,737,514,70%
12.,KekelZpekel,0,404,308,76%
13.,Kacer,0,229,146,64%
14.,Unreal,0,381,295,77%
15.,DavidHakl,0,273,161,59%
16.,Maras,0,471,347,74%
17.,ChuckNorris,0,674,430,64%
18.,Tomis,0,97,72,74%
19.,Bruce_Lee,0,40,25,63%
20.,Afroman,0,199,153,77%
21.,chichtofnuk,0,540,372,69%
22.,Vítek,0,183,138,75%
23.,PetoPalo,0,215,132,61%
24.,bonca,0,144,80,56%
25.,gabo,0,195,87,45%
26.,Older Hero,0,38,27,71%
27.,Houhou,0,361,190,53%
28.,uniqfazer,0,62,26,42%
29.,Helmut,0,30,7,23%
30.,Skalimse,0,119,40,34%
31.,Elfus,0,119,83,70%
32.,Tornádo,0,138,120,87%
33.,acid,0,245,172,70%
34.,Friza,0,24,12,50%
35.,BeerWarrior,0,58,40,69%
36.,Michal Hruša,0,336,205,61%
37.,Juan Manzana,0,128,63,49%
38.,Imposieble,0,599,383,64%
39.,Gigiman,0,186,126,68%
40.,Septienna,0,18,9,50%
